Id, Image, Time, X, Y, Z, Heading, Roll, Pitch, Camera, Quality, Line, Color, AccuracyXyz
120,p000119.jpg,1727874993.0903,6.1569,6.2510,1.2132,-7.2711,-0.1904,-3.7776,0,1,0,C0;0;0;0;0;0,0.1
121,p000120.jpg,1727874994.0903,6.4320,6.1871,1.2095,29.9861,-0.6642,-5.0614,0,1,0,C0;0;0;0;0;0,0.1
122,p000121.jpg,1727874995.0853,6.5236,6.0709,1.1915,51.2711,0.7914,-2.0506,0,1,0,C0;0;0;0;0;0,0.1
123,p000122.jpg,1727874996.1313,6.4755,5.9465,1.1595,53.6274,-0.1110,-4.8413,0,1,0,C0;0;0;0;0;0,0.1
124,p000123.jpg,1727874997.1313,6.4341,5.7732,1.0425,47.8238,-0.6745,0.4806,0,1,0,C0;0;0;0;0;0,0.1
125,p000124.jpg,1727874998.1313,6.4556,5.4065,0.9938,37.6742,-1.6438,0.3379,0,1,0,C0;0;0;0;0;0,0.1
126,p000125.jpg,1727874999.1733,6.3801,4.8695,0.8321,35.5994,-0.0403,-2.5376,0,1,0,C0;0;0;0;0;0,0.1
127,p000126.jpg,1727875000.1733,6.3221,4.2599,0.7746,33.9305,-1.3098,-5.1437,0,1,0,C0;0;0;0;0;0,0.1
128,p000127.jpg,1727875001.1733,6.3454,3.6403,0.7739,32.8128,-3.7329,-5.6307,0,1,0,C0;0;0;0;0;0,0.1
129,p000128.jpg,1727875002.2153,6.5694,3.0730,0.7349,54.8966,4.3521,-5.6752,0,1,0,C0;0;0;0;0;0,0.1
130,p000129.jpg,1727875003.2153,7.0354,2.6505,0.7180,61.2157,0.9126,-5.6256,0,1,0,C0;0;0;0;0;0,0.1
131,p000130.jpg,1727875004.2143,7.4289,2.4374,0.7442,39.0489,-3.5611,-0.7412,0,1,0,C0;0;0;0;0;0,0.1
132,p000131.jpg,1727875005.2153,7.9969,2.2308,0.6993,24.6999,-3.1372,-6.3672,0,1,0,C0;0;0;0;0;0,0.1
133,p000132.jpg,1727875006.2563,8.4924,2.1748,0.7299,8.4440,0.2178,-4.9139,0,1,0,C0;0;0;0;0;0,0.1
134,p000133.jpg,1727875007.2563,8.7421,2.3493,0.7096,1.3262,-1.5806,-7.2346,0,1,0,C0;0;0;0;0;0,0.1
135,p000134.jpg,1727875008.2563,8.7328,2.2859,0.8262,0.1066,-0.3201,7.4603,0,1,0,C0;0;0;0;0;0,0.1
136,p000135.jpg,1727875009.2563,8.7386,2.2268,0.8896,1.0183,0.3233,16.8909,0,1,0,C0;0;0;0;0;0,0.1
137,p000136.jpg,1727875010.2983,8.7375,2.1839,0.9088,2.0311,0.1116,22.8007,0,1,0,C0;0;0;0;0;0,0.1
138,p000137.jpg,1727875011.2983,8.7329,2.2763,0.8756,2.9598,0.6147,11.1170,0,1,0,C0;0;0;0;0;0,0.1
139,p000138.jpg,1727875012.2983,8.7546,2.3745,0.7305,4.2862,-0.1486,-5.6835,0,1,0,C0;0;0;0;0;0,0.1
140,p000139.jpg,1727875013.2983,8.8241,2.3196,0.7281,16.5688,-2.0834,-4.9287,0,1,0,C0;0;0;0;0;0,0.1
141,p000140.jpg,1727875014.3393,8.9190,2.2441,0.7907,30.9184,-2.1243,0.6904,0,1,0,C0;0;0;0;0;0,0.1
142,p000141.jpg,1727875015.3393,8.8514,2.1186,0.9146,31.1719,-1.1593,19.1478,0,1,0,C0;0;0;0;0;0,0.1
143,p000142.jpg,1727875016.3393,8.8524,2.0810,0.9597,31.2922,0.5465,24.1897,0,1,0,C0;0;0;0;0;0,0.1
144,p000143.jpg,1727875017.3813,8.8848,2.1591,0.9050,30.2158,-0.2604,15.1483,0,1,0,C0;0;0;0;0;0,0.1
145,p000144.jpg,1727875018.3813,8.9408,2.2877,0.7677,30.3361,-0.8928,-1.9221,0,1,0,C0;0;0;0;0;0,0.1
146,p000145.jpg,1727875019.3813,8.8739,2.3015,0.7540,29.5223,-0.4051,-0.6910,0,1,0,C0;0;0;0;0;0,0.1
147,p000146.jpg,1727875020.4233,8.4624,2.3664,0.6873,7.6400,-1.5870,-2.9619,0,1,0,C0;0;0;0;0;0,0.1
148,p000147.jpg,1727875021.4233,7.8227,2.4691,0.7252,-2.7315,-1.0204,1.1017,0,1,0,C0;0;0;0;0;0,0.1
149,p000148.jpg,1727875022.4233,7.1342,2.4316,0.7006,-5.7509,-0.9617,-3.5745,0,1,0,C0;0;0;0;0;0,0.1
150,p000149.jpg,1727875023.4643,6.3362,2.4113,0.7286,-5.9909,-0.9081,-0.7262,0,1,0,C0;0;0;0;0;0,0.1
151,p000150.jpg,1727875024.4643,5.7722,2.4638,0.7261,-7.0103,0.2773,-0.5516,0,1,0,C0;0;0;0;0;0,0.1
152,p000151.jpg,1727875025.4643,5.1116,2.4691,0.7381,-10.2876,1.2086,-1.7475,0,1,0,C0;0;0;0;0;0,0.1
153,p000152.jpg,1727875026.5063,4.4802,2.5774,0.7681,-7.8152,1.2339,-0.8255,0,1,0,C0;0;0;0;0;0,0.1
154,p000153.jpg,1727875027.5063,4.0440,2.5106,0.7476,-6.3214,0.2155,-4.3413,0,1,0,C0;0;0;0;0;0,0.1
155,p000154.jpg,1727875028.5063,3.9754,2.4826,0.8810,-7.7161,-0.9315,10.0802,0,1,0,C0;0;0;0;0;0,0.1
156,p000155.jpg,1727875029.5483,4.0243,2.4263,0.9589,-7.7835,1.0838,15.8315,0,1,0,C0;0;0;0;0;0,0.1
157,p000156.jpg,1727875030.5483,4.0278,2.4257,0.9578,-7.9823,0.2967,17.1648,0,1,0,C0;0;0;0;0;0,0.1
158,p000157.jpg,1727875031.5483,3.9940,2.5635,0.8224,-8.1429,-1.2632,-4.1669,0,1,0,C0;0;0;0;0;0,0.1
159,p000158.jpg,1727875032.5483,3.8861,2.5657,0.7599,-24.4472,-0.1336,-10.3252,0,1,0,C0;0;0;0;0;0,0.1
160,p000159.jpg,1727875033.5893,3.8367,2.4481,0.8675,-34.2046,-2.3284,3.6676,0,1,0,C0;0;0;0;0;0,0.1
161,p000160.jpg,1727875034.5893,3.8751,2.4139,0.9256,-34.8483,0.2055,7.8969,0,1,0,C0;0;0;0;0;0,0.1
162,p000161.jpg,1727875035.5893,3.8575,2.3668,0.7746,-29.8547,-2.0837,-2.8371,0,1,0,C0;0;0;0;0;0,0.1
163,p000162.jpg,1727875036.6313,4.0626,2.1857,0.7442,-26.1083,-0.9863,-3.6643,0,1,0,C0;0;0;0;0;0,0.1
164,p000163.jpg,1727875037.6313,4.1821,1.8580,0.7408,-20.0572,2.6128,-3.3416,0,1,0,C0;0;0;0;0;0,0.1
165,p000164.jpg,1727875038.6733,4.4587,1.5396,0.7337,-22.9019,2.4617,-4.8119,0,1,0,C0;0;0;0;0;0,0.1
166,p000165.jpg,1727875039.6753,4.7226,1.1507,0.7294,-12.8059,3.5810,-3.9403,0,1,0,C0;0;0;0;0;0,0.1
167,p000166.jpg,1727875040.6753,4.9358,0.8063,0.7283,-12.9788,-0.3725,-0.9818,0,1,0,C0;0;0;0;0;0,0.1
